"11/07/2006",#TRUE#,"1024 x 768",149
347,315,#FALSE#,#FALSE#,#FALSE#
347,315,#FALSE#,#FALSE#,#FALSE#
347,315,#FALSE#,#FALSE#,#FALSE#
347,315,#FALSE#,#FALSE#,#FALSE#
347,315,#FALSE#,#FALSE#,#FALSE#
347,315,#FALSE#,#FALSE#,#FALSE#
347,315,#FALSE#,#FALSE#,#FALSE#
347,301,#FALSE#,#FALSE#,#FALSE#
340,240,#FALSE#,#FALSE#,#FALSE#
338,208,#FALSE#,#FALSE#,#FALSE#
334,194,#FALSE#,#FALSE#,#FALSE#
330,189,#FALSE#,#FALSE#,#FALSE#
330,188,#FALSE#,#FALSE#,#FALSE#
330,188,#FALSE#,#FALSE#,#FALSE#
330,188,#FALSE#,#FALSE#,#FALSE#
310,203,#FALSE#,#FALSE#,#FALSE#
256,237,#FALSE#,#FALSE#,#FALSE#
170,303,#FALSE#,#FALSE#,#FALSE#
134,344,#FALSE#,#FALSE#,#FALSE#
109,379,#FALSE#,#FALSE#,#FALSE#
75,464,#FALSE#,#FALSE#,#FALSE#
66,521,#FALSE#,#FALSE#,#FALSE#
62,555,#FALSE#,#FALSE#,#FALSE#
39,609,#FALSE#,#FALSE#,#FALSE#
13,659,#FALSE#,#FALSE#,#FALSE#
0,694,#FALSE#,#FALSE#,#FALSE#
0,712,#FALSE#,#FALSE#,#FALSE#
0,715,#FALSE#,#FALSE#,#FALSE#
0,721,#FALSE#,#FALSE#,#FALSE#
0,740,#FALSE#,#FALSE#,#FALSE#
0,743,#FALSE#,#FALSE#,#FALSE#
0,743,#FALSE#,#FALSE#,#FALSE#
0,746,#FALSE#,#FALSE#,#FALSE#
0,753,#FALSE#,#FALSE#,#FALSE#
0,753,#FALSE#,#FALSE#,#FALSE#
0,753,#TRUE#,#FALSE#,#FALSE#
0,753,#TRUE#,#FALSE#,#FALSE#
0,753,#TRUE#,#FALSE#,#FALSE#
0,753,#FALSE#,#FALSE#,#FALSE#
0,753,#FALSE#,#FALSE#,#FALSE#
0,753,#FALSE#,#FALSE#,#FALSE#
0,753,#FALSE#,#FALSE#,#FALSE#
15,745,#FALSE#,#FALSE#,#FALSE#
45,726,#FALSE#,#FALSE#,#FALSE#
63,696,#FALSE#,#FALSE#,#FALSE#
82,653,#FALSE#,#FALSE#,#FALSE#
110,600,#FALSE#,#FALSE#,#FALSE#
122,579,#FALSE#,#FALSE#,#FALSE#
139,556,#FALSE#,#FALSE#,#FALSE#
155,539,#FALSE#,#FALSE#,#FALSE#
170,524,#FALSE#,#FALSE#,#FALSE#
179,505,#FALSE#,#FALSE#,#FALSE#
184,496,#FALSE#,#FALSE#,#FALSE#
189,487,#FALSE#,#FALSE#,#FALSE#
196,469,#FALSE#,#FALSE#,#FALSE#
200,462,#FALSE#,#FALSE#,#FALSE#
204,452,#FALSE#,#FALSE#,#FALSE#
211,444,#FALSE#,#FALSE#,#FALSE#
219,438,#FALSE#,#FALSE#,#FALSE#
226,431,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#TRUE#,#FALSE#,#FALSE#
233,425,#TRUE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
233,425,#FALSE#,#FALSE#,#FALSE#
