"11/07/2006",#TRUE#,"1024 x 768",249
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
506,322,#FALSE#,#FALSE#,#FALSE#
590,249,#FALSE#,#FALSE#,#FALSE#
744,140,#FALSE#,#FALSE#,#FALSE#
982,0,#FALSE#,#FALSE#,#FALSE#
1023,0,#FALSE#,#FALSE#,#FALSE#
1023,0,#FALSE#,#FALSE#,#FALSE#
1023,0,#FALSE#,#FALSE#,#FALSE#
1023,0,#FALSE#,#FALSE#,#FALSE#
1023,0,#FALSE#,#FALSE#,#FALSE#
1022,0,#FALSE#,#FALSE#,#FALSE#
1019,3,#FALSE#,#FALSE#,#FALSE#
1015,7,#FALSE#,#FALSE#,#FALSE#
1012,7,#FALSE#,#FALSE#,#FALSE#
1006,4,#FALSE#,#FALSE#,#FALSE#
1003,4,#FALSE#,#FALSE#,#FALSE#
1001,5,#FALSE#,#FALSE#,#FALSE#
998,6,#FALSE#,#FALSE#,#FALSE#
989,7,#FALSE#,#FALSE#,#FALSE#
983,7,#FALSE#,#FALSE#,#FALSE#
978,7,#FALSE#,#FALSE#,#FALSE#
973,7,#FALSE#,#FALSE#,#FALSE#
972,7,#FALSE#,#FALSE#,#FALSE#
970,8,#FALSE#,#FALSE#,#FALSE#
966,10,#FALSE#,#FALSE#,#FALSE#
965,10,#FALSE#,#FALSE#,#FALSE#
965,10,#FALSE#,#FALSE#,#FALSE#
903,37,#TRUE#,#FALSE#,#FALSE#
891,41,#FALSE#,#FALSE#,#FALSE#
863,54,#FALSE#,#FALSE#,#FALSE#
847,59,#FALSE#,#FALSE#,#FALSE#
824,70,#FALSE#,#FALSE#,#FALSE#
728,104,#FALSE#,#FALSE#,#FALSE#
642,123,#FALSE#,#FALSE#,#FALSE#
566,133,#FALSE#,#FALSE#,#FALSE#
470,153,#FALSE#,#FALSE#,#FALSE#
411,179,#FALSE#,#FALSE#,#FALSE#
275,237,#FALSE#,#FALSE#,#FALSE#
190,283,#FALSE#,#FALSE#,#FALSE#
136,332,#FALSE#,#FALSE#,#FALSE#
54,423,#FALSE#,#FALSE#,#FALSE#
0,500,#FALSE#,#FALSE#,#FALSE#
0,559,#FALSE#,#FALSE#,#FALSE#
0,588,#FALSE#,#FALSE#,#FALSE#
0,594,#FALSE#,#FALSE#,#FALSE#
7,611,#FALSE#,#FALSE#,#FALSE#
8,637,#FALSE#,#FALSE#,#FALSE#
11,652,#FALSE#,#FALSE#,#FALSE#
13,661,#FALSE#,#FALSE#,#FALSE#
13,684,#FALSE#,#FALSE#,#FALSE#
13,696,#FALSE#,#FALSE#,#FALSE#
12,711,#FALSE#,#FALSE#,#FALSE#
13,731,#FALSE#,#FALSE#,#FALSE#
15,735,#FALSE#,#FALSE#,#FALSE#
16,738,#FALSE#,#FALSE#,#FALSE#
19,743,#FALSE#,#FALSE#,#FALSE#
19,743,#FALSE#,#FALSE#,#FALSE#
19,746,#FALSE#,#FALSE#,#FALSE#
20,748,#FALSE#,#FALSE#,#FALSE#
20,748,#FALSE#,#FALSE#,#FALSE#
20,748,#TRUE#,#FALSE#,#FALSE#
20,748,#TRUE#,#FALSE#,#FALSE#
20,748,#TRUE#,#FALSE#,#FALSE#
20,748,#FALSE#,#FALSE#,#FALSE#
20,748,#FALSE#,#FALSE#,#FALSE#
20,748,#FALSE#,#FALSE#,#FALSE#
20,748,#FALSE#,#FALSE#,#FALSE#
20,748,#FALSE#,#FALSE#,#FALSE#
20,748,#FALSE#,#FALSE#,#FALSE#
20,748,#FALSE#,#FALSE#,#FALSE#
20,743,#FALSE#,#FALSE#,#FALSE#
20,732,#FALSE#,#FALSE#,#FALSE#
20,716,#FALSE#,#FALSE#,#FALSE#
25,707,#FALSE#,#FALSE#,#FALSE#
34,694,#FALSE#,#FALSE#,#FALSE#
70,661,#FALSE#,#FALSE#,#FALSE#
94,643,#FALSE#,#FALSE#,#FALSE#
113,627,#FALSE#,#FALSE#,#FALSE#
152,596,#FALSE#,#FALSE#,#FALSE#
170,585,#FALSE#,#FALSE#,#FALSE#
189,574,#FALSE#,#FALSE#,#FALSE#
211,555,#FALSE#,#FALSE#,#FALSE#
228,544,#FALSE#,#FALSE#,#FALSE#
247,533,#FALSE#,#FALSE#,#FALSE#
264,511,#FALSE#,#FALSE#,#FALSE#
271,495,#FALSE#,#FALSE#,#FALSE#
279,483,#FALSE#,#FALSE#,#FALSE#
280,478,#FALSE#,#FALSE#,#FALSE#
281,476,#FALSE#,#FALSE#,#FALSE#
